rank,team,current_rating,average_ranking,average_rating,one_year_change_ranking,one_year_change_rating,total_matches,home_matches,away_matches,neutral_matches,wins,losses,draws,goals_for,goals_against
185,Barbados,1007,118,1249,-4,-73,344,156,119,69,108,147,89,430,547
186,Somaliland,1002,189,1000,4,0,2,0,0,2,1,0,1,4,3
187,Bonaire,999,147,1043,6,40,82,12,50,20,20,52,10,95,209
188,Western Sahara,996,190,996,3,0,1,0,1,0,0,1,0,0,6
189,Dominica,991,128,1206,-2,-32,219,65,85,69,53,119,47,258,436
190,Liechtenstein,978,164,1130,-11,-116,225,101,110,14,17,180,28,95,637
191,Montserrat,965,189,626,3,25,56,12,20,24,13,36,7,61,197
192,Greenland,963,184,977,0,0,20,2,7,11,5,14,1,33,42
193,Mauritius,951,103,1349,-5,-57,315,106,139,70,89,155,71,407,513
194,Maldives,936,190,886,5,35,217,57,70,90,62,118,37,272,492
195,Nepal,933,190,886,0,-3,268,70,71,127,62,159,47,231,625
196,Myanmar,930,130,1244,-7,-73,503,90,123,290,204,208,91,830,853
197,Aruba,928,121,1208,0,19,182,77,68,37,43,99,40,259,422
198,Monaco,903,199,900,0,0,9,0,1,8,4,2,3,11,15
199,Somalia,899,163,1086,-3,-13,127,10,37,80,14,97,16,68,331
200,Seychelles,884,181,981,0,-13,164,47,52,65,22,111,31,128,345
201,Taiwan,881,142,1182,2,0,312,83,95,134,88,175,49,428,730
202,Pakistan,870,149,1123,2,-6,257,55,84,118,60,150,47,251,565
203,Djibouti,864,175,872,-1,-24,102,28,32,42,8,86,8,68,377
204,Bahamas,861,187,883,1,-5,67,24,22,21,15,44,8,65,209
205,Cambodia,847,157,1064,1,-14,281,63,77,141,62,181,38,314,746
206,Bangladesh,844,181,983,2,-10,291,77,82,132,76,152,63,263,532
207,Cayman Islands,840,181,1019,-6,-52,109,49,32,28,20,67,22,105,269
208,Saint Martin,840,186,989,-1,-15,61,13,24,24,21,34,6,83,151
209,Mongolia,803,188,848,4,36,83,17,31,35,19,54,10,92,241
210,San Marino,784,193,928,-1,-10,194,94,95,5,1,184,9,28,798
211,Sint Maarten,780,185,912,1,12,51,13,19,19,13,29,9,72,139
212,Chagos Islands,776,211,788,-1,0,3,0,0,3,0,2,1,4,10
213,Tuvalu,738,203,745,1,0,31,0,4,27,7,20,4,39,175
214,Turks and Caicos Islands,730,209,779,-4,-48,39,10,16,13,8,29,2,39,164
215,Saint Barthélemy,715,217,702,0,0,8,6,2,0,3,4,1,18,25
216,Guam,705,205,694,1,5,120,24,36,60,27,81,12,145,563
217,Wallis and Futuna,701,199,700,-1,0,24,0,5,19,5,19,0,23,109
218,Macao,698,169,971,0,0,152,49,47,56,24,112,16,137,465
219,Vatican,692,216,697,0,0,5,0,0,5,0,3,2,1,6
220,Cook Islands,683,204,683,1,-4,48,4,11,33,11,33,4,44,249
221,Samoa,678,210,654,2,0,64,26,10,28,18,42,4,86,246
222,Saint Pierre and Miquelon,677,222,679,2,0,7,0,0,7,0,7,0,2,78
223,Sri Lanka,675,177,914,-1,-4,257,57,79,121,47,167,43,246,674
224,US Virgin Islands,662,216,695,1,3,64,21,28,15,8,48,8,33,262
225,Laos,653,183,906,-5,-37,212,39,58,115,40,142,30,215,681
226,Tibet,630,206,668,1,0,10,0,3,7,0,9,1,8,38
227,East Timor,623,224,624,-1,-15,75,5,38,32,8,60,7,71,241
228,Anguilla,621,221,556,4,58,87,20,38,29,10,69,8,52,342
229,British Virgin Islands,616,204,802,0,12,114,29,50,35,19,78,17,102,362
230,Brunei,615,199,785,-2,-6,128,21,36,71,21,95,12,105,402
231,Falkland Islands,580,226,587,-1,0,3,0,1,2,0,3,0,0,21
232,Federated States of Micronesia,564,227,573,-1,0,8,1,3,4,1,7,0,8,64
233,Bhutan,563,216,599,-1,0,93,14,32,47,8,79,6,54,360
234,Kiribati,545,216,581,0,0,11,0,2,9,0,10,1,7,126
235,Tonga,528,210,663,0,0,62,8,14,40,14,42,6,70,242
236,Niue,496,222,496,0,0,2,0,0,2,0,2,0,0,33
237,Eastern Samoa,472,222,473,0,0,51,0,13,38,4,45,2,30,340
238,Northern Mariana Islands,404,229,524,0,-5,28,3,11,14,3,23,2,33,121
239,Palau,403,233,403,0,0,2,2,0,0,0,2,0,3,27
